icao,iata,name,location,country,timezone,hub,lat,lon
EDVC,default,Celle-Arloh Airport,Celle,DE,Europe/Berlin,0,52.6872215271,10.1113891602
EDVE,BWE,Braunschweig Wolfsburg Airport,default,DE,Europe/Berlin,0,52.3191986084,10.5560998917
EDVF,default,Blomberg-Borkhausen Airport,Blomberg,DE,Europe/Berlin,0,51.9172210693,9.1116666794
EDVG,default,Mengeringhausen Airport,Mengeringhausen,DE,Europe/Berlin,0,51.3763885498,8.9811105728
EDVH,default,Hodenhagen Airport,Hodenhagen,DE,Europe/Berlin,0,52.7611122131,9.6055555344
EDVI,default,Hoxter-Holzminden Airport,Hoxter,DE,Europe/Berlin,0,51.8066673279,9.3783330917
EDVJ,default,Salzgitter-Schaferstuhl Airport,Salzgitter,DE,Europe/Berlin,0,52.0302772522,10.364443779
EDVK,KSF,Kassel-Calden Airport,Kassel,DE,Europe/Berlin,0,51.4083328247,9.3774995804
EDVL,default,Holleberg Airport,Trendelburg,DE,Europe/Berlin,0,51.6108322144,9.3975000381
EDVM,default,Hildesheim Airport,Hildesheim,DE,Europe/Berlin,0,52.181388855,9.9463891983
EDVN,default,Northeim Airport,Northeim,DE,Europe/Berlin,0,51.7063903809,10.0397224426
EDVR,default,Rinteln Airport,Rinteln,DE,Europe/Berlin,0,52.17527771,9.0533332825
EDVS,default,Salzgitter-Drutte Airport,Salzgitter,DE,Europe/Berlin,0,52.1544456482,10.4266672134
EDVU,default,Uelzen Airport,Uelzen,DE,Europe/Berlin,0,52.9838905334,10.4650001526
EDVW,default,Hameln-Pyrmont Airport,Bad Pyrmont,DE,Europe/Berlin,0,51.9666671753,9.2916669846
EDVY,default,Porta Westfalica Airport,Bad Oeynhausen,DE,Europe/Berlin,0,52.2208328247,8.859167099
EDWA,default,Bordelum Airport,Bredstedt,DE,Europe/Berlin,0,54.6274986267,8.9302778244
EDWB,BRV,Bremerhaven Airport,Bremerhaven,DE,Europe/Berlin,0,53.506942749,8.5727777481
EDWC,default,Damme Airport,Damme,DE,Europe/Berlin,0,52.4874992371,8.1855564117
EDWD,XLW,Lemwerder Airport,Lemwerder,DE,Europe/Berlin,0,53.1446990967,8.6244401932
EDWE,EME,Emden Airport,Emden,DE,Europe/Berlin,0,53.3911094666,7.2274999619
EDWF,default,Leer-Papenburg Airport,Leer,DE,Europe/Berlin,0,53.2719421387,7.4416670799
EDWG,AGE,Wangerooge Airport,Wangerooge,DE,Europe/Berlin,0,53.7827796936,7.9138889313
EDWH,default,Oldenburg-Hatten Airport,Oldenburg,DE,Europe/Berlin,0,53.0688896179,8.3136110306
EDWI,WVN,Wilhelmshaven-Mariensiel Airport,Wilhelmshaven,DE,Europe/Berlin,0,53.5022201538,8.0522222519
EDWJ,JUI,Juist Airport,Juist,DE,Europe/Berlin,0,53.6811103821,7.0558328629
EDWK,default,Karlshofen Airport,Karlshofen,DE,Europe/Berlin,0,53.3327789307,9.0283327103
EDWL,LGO,Langeoog Airport,Langeoog,DE,Europe/Berlin,0,53.7425003052,7.4977779388
EDWM,default,Weser-Wumme Airport,Rotenburg (Wumme),DE,Europe/Berlin,0,53.0538902283,9.2086105347
EDWN,ZOW,Nordhorn-Lingen Airport,Klausheide,DE,Europe/Berlin,0,52.4575004578,7.1822218895
EDWO,default,Osnabruck-Atterheide Airport,Osnabruck,DE,Europe/Berlin,0,52.2863883972,7.9697217941
EDWP,default,Wiefelstede/Conneforde Airport,Wiefelstede,DE,Europe/Berlin,0,53.3213882446,8.0733327866
EDWQ,default,Ganderkesee Atlas Airfield Airport,Ganderkesee,DE,Europe/Berlin,0,53.0361099243,8.5055561066
EDWR,BMK,Borkum Airport,Borkum,DE,Europe/Berlin,0,53.5963897705,6.7091670036
EDWS,NOD,Norden-Norddeich Airport,Norddeich,DE,Europe/Berlin,0,53.6330566406,7.1902780533
EDWU,VAC,Varrelbusch Airport,Cloppenburg,DE,Europe/Berlin,0,52.9083328247,8.040555954
EDWV,default,Verden-Scharnhorst Airport,Verden (Aller),DE,Europe/Berlin,0,52.9652786255,9.2827777863
EDWX,default,Westerstede-Felde Airport,Westerstede,DE,Europe/Berlin,0,53.2886123657,7.9305558205
EDWY,NRD,Norderney Airport,Norderney,DE,Europe/Berlin,0,53.706943512,7.2300000191
EDWZ,BMR,Baltrum Airport,Baltrum,DE,Europe/Berlin,0,53.7247238159,7.3733329773
EDXA,default,Achmer Airport,Bramsche,DE,Europe/Berlin,0,52.3772201538,7.9133329391
EDXB,HEI,Heide-Busum Airport,Busum,DE,Europe/Berlin,0,54.1533317566,8.9016666412
EDXC,default,Schleswig-Kropp Airport,Schleswig,DE,Europe/Berlin,0,54.42527771,9.5416669846
EDXD,default,Bohmte-Bad Essen Airport,Bohmte,DE,Europe/Berlin,0,52.3513908386,8.328332901
EDXE,default,Rheine-Eschendorf Airport,Rheine,DE,Europe/Berlin,0,52.276389,7.492778
EDXF,FLF,Flensburg-Schaeferhaus Airport,Flensburg,DE,Europe/Berlin,0,54.7733345032,9.3788890839
EDXG,default,Melle-Gronegau Airport,Melle,DE,Europe/Berlin,0,52.2008323669,8.3805561066
EDXH,HGL,Helgoland-Dune Airport,Helgoland,DE,Europe/Berlin,0,54.1852798462,7.9158329964
EDXI,default,Nienburg-Holzbalge Airport,Nienburg/Weser,DE,Europe/Berlin,0,52.7097206116,9.1625003815
EDXJ,default,Husum-Schwesing Airport,Husum,DE,Europe/Berlin,0,54.5099983215,9.1383333206
EDXK,default,Leck Airport,Leck,DE,Europe/Berlin,0,54.7900009155,8.961388588
EDXL,default,Barsel Airport,Barsel,DE,Europe/Berlin,0,53.1644439697,7.7938890457
EDXM,default,St. Michaelisdonn Airport,Sankt Michaelisdonn,DE,Europe/Berlin,0,53.9780578613,9.1447219849
EDXN,default,Nordholz-Spieka Airport,Cuxhaven,DE,Europe/Berlin,0,53.7672233582,8.6436109543
EDXO,PSH,St. Peter-Ording Airport,Sankt Peter-Ording,DE,Europe/Berlin,0,54.3088874817,8.6869440079
EDXP,default,Harle Airport,Harlesiel,DE,Europe/Berlin,0,53.7066688538,7.8202781677
EDXQ,default,Rotenburg (Wumme) Airport,Rotenburg (Wumme),DE,Europe/Berlin,0,53.1283340454,9.348610878
EDXR,default,Rendsburg-Schachtholm Airport,Rendsburg,DE,Europe/Berlin,0,54.2200012207,9.5994443893
EDXS,default,Seedorf Airport,Seedorf,DE,Europe/Berlin,0,53.3355560303,9.2594442368
EDXT,default,Sierksdorf/Hof Altona Airport,Sierksdorf,DE,Europe/Berlin,0,54.067779541,10.7430562973
EDXU,default,Huttenbusch Airport,Huttenbusch,DE,Europe/Berlin,0,53.2866668701,8.947221756
EDXW,GWT,Westerland Sylt Airport,Westerland,DE,Europe/Berlin,0,54.9132003784,8.340470314
EDXY,OHR,Wyk auf Fohr Airport,Wyk auf Fohr,DE,Europe/Berlin,0,54.6844444275,8.5283327103
EDXZ,default,Kuhrstedt-Bederkesa Airport,Kuhrstedt,DE,Europe/Berlin,0,53.5680541992,8.7894439697
EEEI,default,Amari Air Base,Keila,EE,Europe/Tallinn,0,59.2602996826,24.2084999084
EEJI,default,Johvi Airfield,Johvi,EE,Europe/Tallinn,0,59.3330001831,27.3829994202
EEKA,KDL,Kardla Airport,Kardla,EE,Europe/Tallinn,0,58.9907989502,22.8306999207
EEKE,URE,Kuressaare Airport,Kuressaare,EE,Europe/Tallinn,0,58.2299003601,22.5095005035
EEKU,default,Kihnu Airfield,Saarekula,EE,Europe/Tallinn,0,58.1483001709,24.0025005341
EENA,default,Narva Estonia Airport,Narva,EE,Europe/Tallinn,0,59.3885993958,28.1135997772
EENI,default,Nurmsi Airport,Nurmsi,EE,Europe/Tallinn,0,58.8650016785,25.7299995422
EEPU,EPU,Parnu Airport,Parnu,EE,Europe/Tallinn,0,58.4189987183,24.4727993011
EERA,default,Rapla Airfield,Rapla,EE,Europe/Tallinn,0,58.9864006042,24.7243995667
EERI,default,Ridali Airfield,Suurkula,EE,Europe/Tallinn,0,57.9399986267,26.9790000916
